ranking,name,score,link
57,Made in Abyss: Retsujitsu no Ougonkyou,8.68,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
58,Mononoke Hime,8.67,https://myanimelist.net/anime/164/Mononoke_Hime
59,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.67,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3
60,Violet Evergarden,8.67,https://myanimelist.net/anime/33352/Violet_Evergarden
61,Made in Abyss,8.66,https://myanimelist.net/anime/34599/Made_in_Abyss
62,Mushishi,8.66,https://myanimelist.net/anime/457/Mushishi
63,Spy x Family,8.66,https://myanimelist.net/anime/50265/Spy_x_Family
64,Hajime no Ippo: New Challenger,8.66,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
65,Howl no Ugoku Shiro,8.66,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
66,Jujutsu Kaisen,8.65,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
67,Natsume Yuujinchou Shi,8.65,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
68,Shigatsu wa Kimi no Uso,8.65,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
69,Haikyuu!! Second Season,8.64,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
70,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
71,Bungou Stray Dogs 4th Season,8.63,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season
72,Chainsaw Man,8.63,https://myanimelist.net/anime/44511/Chainsaw_Man
73,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.63,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
74,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.63,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
75,Tengen Toppa Gurren Lagann,8.63,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
76,Natsume Yuujinchou Roku,8.62,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
77,Ping Pong the Animation,8.62,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
78,Shingeki no Kyojin Season 3,8.62,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
79,Death Note,8.62,https://myanimelist.net/anime/1535/Death_Note
80,Cyberpunk: Edgerunners,8.61,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
81,Evangelion: 3.0+1.0 Thrice Upon a Time,8.61,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
82,Mo Dao Zu Shi: Wanjie Pian,8.61,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
83,Suzume no Tojimari,8.61,https://myanimelist.net/anime/50594/Suzume_no_Tojimari
84,Suzumiya Haruhi no Shoushitsu,8.61,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
85,Mushishi Zoku Shou: Suzu no Shizuku,8.60,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
86,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
87,Hajime no Ippo: Rising,8.59,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
88,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
89,Kizumonogatari II: Nekketsu-hen,8.58,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
90,Natsume Yuujinchou San,8.58,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
91,Ookami Kodomo no Ame to Yuki,8.58,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
92,Natsume Yuujinchou Go,8.57,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
93,Shouwa Genroku Rakugo Shinjuu,8.57,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
94,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
95,Yojouhan Shinwa Taikei,8.57,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
96,Ousama Ranking,8.56,https://myanimelist.net/anime/40834/Ousama_Ranking
97,Fruits Basket 2nd Season,8.56,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
98,Kenpuu Denki Berserk,8.56,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
99,Kimi no Suizou wo Tabetai,8.56,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
100,Fate/Zero 2nd Season,8.55,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
101,Haikyuu!! To the Top Part 2,8.55,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
102,Karakai Jouzu no Takagi-san Movie,8.55,https://myanimelist.net/anime/49722/Karakai_Jouzu_no_Takagi-san_Movie
103,Zoku Natsume Yuujinchou,8.55,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
104,Neon Genesis Evangelion: The End of Evangelion,8.55,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
105,Mushishi: Hihamukage,8.54,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
106,Nana,8.54,https://myanimelist.net/anime/877/Nana
107,Slam Dunk,8.54,https://myanimelist.net/anime/170/Slam_Dunk
108,Bakuman. 3rd Season,8.54,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
109,Kara no Kyoukai Movie 5: Mujun Rasen,8.53,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
110,Perfect Blue,8.53,https://myanimelist.net/anime/437/Perfect_Blue
111,Shingeki no Kyojin,8.53,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
112,Shoujo☆Kageki Revue Starlight Movie,8.53,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
113,Sora yori mo Tooi Basho,8.53,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
114,Steins;Gate 0,8.53,https://myanimelist.net/anime/30484/Steins_Gate_0
115,Yuru Camp△ Season 2,8.53,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
116,Yakusoku no Neverland,8.52,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
117,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
118,Gintama.: Porori-hen,8.52,https://myanimelist.net/anime/35843/Gintama__Porori-hen
119,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
120,Road of Naruto,8.52,https://myanimelist.net/anime/53236/Road_of_Naruto
121,Summertime Render,8.52,https://myanimelist.net/anime/47194/Summertime_Render
122,Samurai Champloo,8.51,https://myanimelist.net/anime/205/Samurai_Champloo
123,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.51,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
124,Hotaru no Haka,8.51,https://myanimelist.net/anime/578/Hotaru_no_Haka
125,Kimetsu no Yaiba,8.51,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
126,Ansatsu Kyoushitsu 2nd Season,8.50,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
127,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
128,Uchuu Kyoudai,8.50,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
129,One Punch Man,8.50,https://myanimelist.net/anime/30276/One_Punch_Man
130,Shingeki no Kyojin Season 2,8.50,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
131,Mob Psycho 100,8.49,https://myanimelist.net/anime/32182/Mob_Psycho_100
132,Aria the Origination,8.49,https://myanimelist.net/anime/3297/Aria_the_Origination
