ranking,name,score,link
1081,Violet Evergarden CM,7.72,https://myanimelist.net/anime/42166/Violet_Evergarden_CM
1082,Yamato Nadeshiko Shichihenge♥,7.72,https://myanimelist.net/anime/1562/Yamato_Nadeshiko_Shichihenge♥
1083,Yuukoku no Moriarty OVA,7.72,https://myanimelist.net/anime/49733/Yuukoku_no_Moriarty_OVA
1084,Arakawa Under the Bridge x Bridge,7.72,https://myanimelist.net/anime/9074/Arakawa_Under_the_Bridge_x_Bridge
1085,Asagao to Kase-san.,7.72,https://myanimelist.net/anime/36214/Asagao_to_Kase-san
1086,Bishoujo Senshi Sailor Moon,7.72,https://myanimelist.net/anime/530/Bishoujo_Senshi_Sailor_Moon
1087,Bishoujo Senshi Sailor Moon Eternal Movie 2,7.72,https://myanimelist.net/anime/40429/Bishoujo_Senshi_Sailor_Moon_Eternal_Movie_2
1088,Break Blade Movie 2: Ketsubetsu no Michi,7.72,https://myanimelist.net/anime/8514/Break_Blade_Movie_2__Ketsubetsu_no_Michi
1089,Detective Conan Movie 19: The Hellfire Sunflowers,7.72,https://myanimelist.net/anime/28479/Detective_Conan_Movie_19__The_Hellfire_Sunflowers
1090,Doupo Cangqiong 3rd Season,7.72,https://myanimelist.net/anime/38436/Doupo_Cangqiong_3rd_Season
1091,Dragon Ball Kai,7.72,https://myanimelist.net/anime/6033/Dragon_Ball_Kai
1092,Final Fantasy VII: Advent Children,7.72,https://myanimelist.net/anime/317/Final_Fantasy_VII__Advent_Children
1093,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",7.72,https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_Part_2
1094,Heikousen,7.72,https://myanimelist.net/anime/47402/Heikousen
1095,Hidamari Sketch x 365 Specials,7.72,https://myanimelist.net/anime/6984/Hidamari_Sketch_x_365_Specials
1096,Junjou Romantica 2,7.72,https://myanimelist.net/anime/4814/Junjou_Romantica_2
1097,"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",7.72,https://myanimelist.net/anime/35363/Kobayashi-san_Chi_no_Maid_Dragon__Valentine_Soshite_Onsen_-_Amari_Kitai_Shinaide_Kudasai
1098,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,7.72,https://myanimelist.net/anime/10090/Koukaku_Kidoutai__Stand_Alone_Complex_-_Solid_State_Society_3D
1099,Kuroko no Basket 2nd Season NG-shuu,7.72,https://myanimelist.net/anime/22673/Kuroko_no_Basket_2nd_Season_NG-shuu
1100,Kuroko no Basket Movie 1: Winter Cup - Kage to Hikari,7.72,https://myanimelist.net/anime/32869/Kuroko_no_Basket_Movie_1__Winter_Cup_-_Kage_to_Hikari
1101,Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,7.72,https://myanimelist.net/anime/25015/Kyoukai_no_Kanata_Movie_1__Ill_Be_Here_-_Kako-hen
1102,Kyousou Giga (TV),7.72,https://myanimelist.net/anime/19703/Kyousou_Giga_TV
1103,Noragami OVA,7.72,https://myanimelist.net/anime/20767/Noragami_OVA
1104,Panty & Stocking with Garterbelt,7.72,https://myanimelist.net/anime/8795/Panty___Stocking_with_Garterbelt
1105,Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,7.72,https://myanimelist.net/anime/37442/Psycho-Pass__Sinners_of_the_System_Case3_-_Onshuu_no_Kanata_ni＿＿
1106,Rozen Maiden: Ouvertüre,7.72,https://myanimelist.net/anime/1719/Rozen_Maiden__Ouvertüre
1107,School Rumble: Ichi Gakki Hoshuu,7.72,https://myanimelist.net/anime/517/School_Rumble__Ichi_Gakki_Hoshuu
1108,Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,7.71,https://myanimelist.net/anime/48916/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai_2nd_Season
1109,Macross Plus,7.71,https://myanimelist.net/anime/474/Macross_Plus
1110,Macross Plus Movie Edition,7.71,https://myanimelist.net/anime/1211/Macross_Plus_Movie_Edition
1111,Mahouka Koukou no Rettousei: Tsuioku-hen,7.71,https://myanimelist.net/anime/48375/Mahouka_Koukou_no_Rettousei__Tsuioku-hen
1112,Master Keaton OVA,7.71,https://myanimelist.net/anime/1910/Master_Keaton_OVA
1113,Memories,7.71,https://myanimelist.net/anime/1462/Memories
1114,New Game!!,7.71,https://myanimelist.net/anime/34914/New_Game
1115,Ojamajo Doremi Dokkaan!,7.71,https://myanimelist.net/anime/353/Ojamajo_Doremi_Dokkaan
1116,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,7.71,https://myanimelist.net/anime/31289/One_Piece__Episode_of_Sabo_-_3_Kyoudai_no_Kizuna_Kiseki_no_Saikai_to_Uketsugareru_Ishi
1117,Pokemon XY&Z,7.71,https://myanimelist.net/anime/31592/Pokemon_XY_Z
1118,Princess Principal: Crown Handler Movie 2,7.71,https://myanimelist.net/anime/41140/Princess_Principal__Crown_Handler_Movie_2
1119,Psycho-Pass Movie,7.71,https://myanimelist.net/anime/21339/Psycho-Pass_Movie
1120,Tenshi no Tamago,7.71,https://myanimelist.net/anime/885/Tenshi_no_Tamago
1121,Tetsuwan Birdy Decode:02,7.71,https://myanimelist.net/anime/5074/Tetsuwan_Birdy_Decode_02
1122,Tiger & Bunny Movie 2: The Rising,7.71,https://myanimelist.net/anime/12017/Tiger___Bunny_Movie_2__The_Rising
1123,Tomodachi Game,7.71,https://myanimelist.net/anime/50273/Tomodachi_Game
1124,Tsuki ga Michibiku Isekai Douchuu,7.71,https://myanimelist.net/anime/43523/Tsuki_ga_Michibiku_Isekai_Douchuu
1125,Watashi no Ashinaga Ojisan,7.71,https://myanimelist.net/anime/1375/Watashi_no_Ashinaga_Ojisan
1126,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",7.71,https://myanimelist.net/anime/31483/Akagami_no_Shirayuki-hime__Nandemonai_Takaramono_Kono_Page
1127,BanG Dream! Film Live,7.71,https://myanimelist.net/anime/39619/BanG_Dream_Film_Live
1128,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,7.71,https://myanimelist.net/anime/41780/BanG_Dream_Movie__Episode_of_Roselia_-_I__Yakusoku
1129,Bishoujo Senshi Sailor Moon R,7.71,https://myanimelist.net/anime/740/Bishoujo_Senshi_Sailor_Moon_R
1130,Bishoujo Senshi Sailor Moon R: The Movie,7.71,https://myanimelist.net/anime/531/Bishoujo_Senshi_Sailor_Moon_R__The_Movie
1131,Chi's Sweet Home: Atarashii Ouchi,7.71,https://myanimelist.net/anime/6024/Chis_Sweet_Home__Atarashii_Ouchi
1132,Chuunibyou demo Koi ga Shitai!,7.71,https://myanimelist.net/anime/14741/Chuunibyou_demo_Koi_ga_Shitai
1133,Daicon Opening Animations,7.71,https://myanimelist.net/anime/2724/Daicon_Opening_Animations
1134,Detective Conan Movie 16: The Eleventh Striker,7.71,https://myanimelist.net/anime/12117/Detective_Conan_Movie_16__The_Eleventh_Striker
1135,Enen no Shouboutai,7.71,https://myanimelist.net/anime/38671/Enen_no_Shouboutai
1136,Gekkan Shoujo Nozaki-kun Specials,7.71,https://myanimelist.net/anime/27633/Gekkan_Shoujo_Nozaki-kun_Specials
1137,Girls & Panzer: Kore ga Hontou no Anzio-sen desu!,7.71,https://myanimelist.net/anime/18619/Girls___Panzer__Kore_ga_Hontou_no_Anzio-sen_desu
1138,Gyakkou,7.71,https://myanimelist.net/anime/52847/Gyakkou
1139,Haikyuu!! Lev Genzan!,7.71,https://myanimelist.net/anime/25303/Haikyuu_Lev_Genzan
1140,Hakuouki Movie 2: Shikon Soukyuu,7.71,https://myanimelist.net/anime/13119/Hakuouki_Movie_2__Shikon_Soukyuu
1141,IDOLiSH7,7.71,https://myanimelist.net/anime/33899/IDOLiSH7
1142,JoJo no Kimyou na Bouken: Phantom Blood,7.71,https://myanimelist.net/anime/3603/JoJo_no_Kimyou_na_Bouken__Phantom_Blood
1143,Joshikousei no Mudazukai,7.71,https://myanimelist.net/anime/38619/Joshikousei_no_Mudazukai
1144,Junjou Romantica OVA,7.71,https://myanimelist.net/anime/13767/Junjou_Romantica_OVA
1145,Karakai Jouzu no Takagi-san,7.71,https://myanimelist.net/anime/35860/Karakai_Jouzu_no_Takagi-san
1146,Akebi-chan no Sailor-fuku,7.70,https://myanimelist.net/anime/48553/Akebi-chan_no_Sailor-fuku
1147,BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,7.70,https://myanimelist.net/anime/51218/BanG_Dream_5th_Anniversary_Animation__CiRCLE_Thanks_Party
1148,Berserk: Ougon Jidai-hen I - Haou no Tamago,7.70,https://myanimelist.net/anime/10218/Berserk__Ougon_Jidai-hen_I_-_Haou_no_Tamago
1149,D.Gray-man Hallow,7.70,https://myanimelist.net/anime/32370/DGray-man_Hallow
1150,Death Note: Rewrite,7.70,https://myanimelist.net/anime/2994/Death_Note__Rewrite
1151,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,7.70,https://myanimelist.net/anime/47164/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_IV__Shin_Shou_-_Meikyuu-hen
1152,Hanasakeru Seishounen,7.70,https://myanimelist.net/anime/5835/Hanasakeru_Seishounen
1153,Hourou Musuko,7.70,https://myanimelist.net/anime/8426/Hourou_Musuko
1154,Little Busters! EX,7.70,https://myanimelist.net/anime/20517/Little_Busters_EX
1155,Nurarihyon no Mago OVA,7.70,https://myanimelist.net/anime/15959/Nurarihyon_no_Mago_OVA
1156,One Punch Man Specials,7.70,https://myanimelist.net/anime/31772/One_Punch_Man_Specials
1157,One Punch Man: Road to Hero,7.70,https://myanimelist.net/anime/31704/One_Punch_Man__Road_to_Hero
1158,Shanhe Jian Xin,7.70,https://myanimelist.net/anime/44196/Shanhe_Jian_Xin
1159,Shen Yin Wangzuo 2nd Season,7.70,https://myanimelist.net/anime/52684/Shen_Yin_Wangzuo_2nd_Season
1160,Soukou Kihei Votoms,7.70,https://myanimelist.net/anime/2582/Soukou_Kihei_Votoms
1161,Uramichi Oniisan,7.70,https://myanimelist.net/anime/40620/Uramichi_Oniisan
1162,Yuuseiboushi,7.70,https://myanimelist.net/anime/49838/Yuuseiboushi
1163,Uchuu Kaizoku Captain Herlock,7.69,https://myanimelist.net/anime/1000/Uchuu_Kaizoku_Captain_Herlock
1164,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,7.69,https://myanimelist.net/anime/34284/Yuuki_Yuuna_wa_Yuusha_de_Aru__Washio_Sumi_no_Shou
1165,Ani ni Tsukeru Kusuri wa Nai! 3,7.69,https://myanimelist.net/anime/39959/Ani_ni_Tsukeru_Kusuri_wa_Nai_3
1166,Aoi Bungaku Series,7.69,https://myanimelist.net/anime/7193/Aoi_Bungaku_Series
1167,Baka to Test to Shoukanjuu Ni!,7.69,https://myanimelist.net/anime/8516/Baka_to_Test_to_Shoukanjuu_Ni
1168,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,7.69,https://myanimelist.net/anime/997/Bishoujo_Senshi_Sailor_Moon_S__Kaguya-hime_no_Koibito
1169,Cool Doji Danshi,7.69,https://myanimelist.net/anime/51680/Cool_Doji_Danshi
1170,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",7.69,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri
1171,Keroro Gunsou,7.69,https://myanimelist.net/anime/516/Keroro_Gunsou
1172,Koutetsujou no Kabaneri Movie 3: Unato Kessen,7.69,https://myanimelist.net/anime/34544/Koutetsujou_no_Kabaneri_Movie_3__Unato_Kessen
1173,Muumindani no Suisei,7.69,https://myanimelist.net/anime/2313/Muumindani_no_Suisei
1174,Princess Principal,7.69,https://myanimelist.net/anime/35240/Princess_Principal
1175,Rurouni Kenshin DVD-BOX Special Ending,7.69,https://myanimelist.net/anime/6591/Rurouni_Kenshin_DVD-BOX_Special_Ending
1176,Seitokai Yakuindomo*,7.69,https://myanimelist.net/anime/20847/Seitokai_Yakuindomo
1177,Shen Yin Wangzuo,7.69,https://myanimelist.net/anime/51335/Shen_Yin_Wangzuo
1178,Shin Kidou Senki Gundam Wing,7.69,https://myanimelist.net/anime/90/Shin_Kidou_Senki_Gundam_Wing
1179,Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,7.68,https://myanimelist.net/anime/2175/Kino_no_Tabi__The_Beautiful_World_-_Byouki_no_Kuni_-_For_You
1180,Kuroko no Basket 3rd Season NG-shuu,7.68,https://myanimelist.net/anime/30311/Kuroko_no_Basket_3rd_Season_NG-shuu
1181,Nanatsu no Taizai,7.68,https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
1182,Naruto: Shippuuden Movie 6 - Road to Ninja,7.68,https://myanimelist.net/anime/13667/Naruto__Shippuuden_Movie_6_-_Road_to_Ninja
1183,Princess Sara,7.68,https://myanimelist.net/anime/2547/Princess_Sara
1184,Seto no Hanayome,7.68,https://myanimelist.net/anime/2104/Seto_no_Hanayome
1185,Shigatsu wa Kimi no Uso: Moments,7.68,https://myanimelist.net/anime/28069/Shigatsu_wa_Kimi_no_Uso__Moments
1186,Tomo-chan wa Onnanoko!,7.68,https://myanimelist.net/anime/52305/Tomo-chan_wa_Onnanoko
1187,"Yuru Yuri,",7.68,https://myanimelist.net/anime/37773/Yuru_Yuri
1188,Binbougami ga!,7.68,https://myanimelist.net/anime/13535/Binbougami_ga
1189,Break Blade Movie 6: Doukoku no Toride,7.68,https://myanimelist.net/anime/10092/Break_Blade_Movie_6__Doukoku_no_Toride
1190,Dragon Ball Kai (2014),7.68,https://myanimelist.net/anime/22777/Dragon_Ball_Kai_2014
1191,Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,7.68,https://myanimelist.net/anime/30191/Durararax2_Shou__Watashi_no_Kokoro_wa_Nabe_Moyou
1192,Fruits Basket,7.68,https://myanimelist.net/anime/120/Fruits_Basket
1193,Hakumei to Mikochi,7.68,https://myanimelist.net/anime/36094/Hakumei_to_Mikochi
1194,Hayate no Gotoku!!,7.68,https://myanimelist.net/anime/4192/Hayate_no_Gotoku
1195,Ichigo Mashimaro Encore,7.68,https://myanimelist.net/anime/4811/Ichigo_Mashimaro_Encore
1196,Ichigo Mashimaro OVA,7.68,https://myanimelist.net/anime/1888/Ichigo_Mashimaro_OVA
1197,Inazuma Eleven,7.68,https://myanimelist.net/anime/5231/Inazuma_Eleven
1198,Jujutsu Kaisen Official PV,7.68,https://myanimelist.net/anime/38777/Jujutsu_Kaisen_Official_PV
1199,Kami nomi zo Shiru Sekai: Tenri-hen,7.68,https://myanimelist.net/anime/15117/Kami_nomi_zo_Shiru_Sekai__Tenri-hen
1200,Kanojo to Kanojo no Neko: Everything Flows,7.68,https://myanimelist.net/anime/32491/Kanojo_to_Kanojo_no_Neko__Everything_Flows
1201,Kengan Ashura Part 2,7.68,https://myanimelist.net/anime/40269/Kengan_Ashura_Part_2
1202,Kidou Keisatsu Patlabor: On Television,7.68,https://myanimelist.net/anime/324/Kidou_Keisatsu_Patlabor__On_Television
1203,Kill la Kill Specials,7.68,https://myanimelist.net/anime/21659/Kill_la_Kill_Specials
1204,3D Kanojo: Real Girl 2nd Season,7.67,https://myanimelist.net/anime/37956/3D_Kanojo__Real_Girl_2nd_Season
1205,5-toubun no Hanayome,7.67,https://myanimelist.net/anime/38101/5-toubun_no_Hanayome
1206,ACCA: 13-ku Kansatsu-ka,7.67,https://myanimelist.net/anime/33337/ACCA__13-ku_Kansatsu-ka
1207,Ansatsu Kyoushitsu: Kagaijugyou-hen,7.67,https://myanimelist.net/anime/32863/Ansatsu_Kyoushitsu__Kagaijugyou-hen
1208,Aria the Animation,7.67,https://myanimelist.net/anime/477/Aria_the_Animation
1209,BanG Dream! Garupa☆Pico Fever!,7.67,https://myanimelist.net/anime/49123/BanG_Dream_Garupa☆Pico_Fever
1210,Bokura wa Minna Kawai-sou,7.67,https://myanimelist.net/anime/21405/Bokura_wa_Minna_Kawai-sou
1211,Chi's Sweet Home,7.67,https://myanimelist.net/anime/3841/Chis_Sweet_Home
1212,Detective Conan Movie 17: Private Eye in the Distant Sea,7.67,https://myanimelist.net/anime/14735/Detective_Conan_Movie_17__Private_Eye_in_the_Distant_Sea
1213,Detective Conan Movie 21: The Crimson Love Letter,7.67,https://myanimelist.net/anime/34430/Detective_Conan_Movie_21__The_Crimson_Love_Letter
1214,Free! Movie 5: The Final Stroke - Kouhen,7.67,https://myanimelist.net/anime/48830/Free_Movie_5__The_Final_Stroke_-_Kouhen
1215,Hirogaru Sky! Precure,7.67,https://myanimelist.net/anime/53716/Hirogaru_Sky_Precure
1216,InuYasha Movie 2: Kagami no Naka no Mugenjo,7.67,https://myanimelist.net/anime/450/InuYasha_Movie_2__Kagami_no_Naka_no_Mugenjo
1217,Isekai Shokudou 2,7.67,https://myanimelist.net/anime/48804/Isekai_Shokudou_2
1218,Kuroshitsuji,7.67,https://myanimelist.net/anime/4898/Kuroshitsuji
1219,Macross F: Close Encounter - Deculture Edition,7.67,https://myanimelist.net/anime/4454/Macross_F__Close_Encounter_-_Deculture_Edition
1220,Mousou Dairinin,7.67,https://myanimelist.net/anime/323/Mousou_Dairinin
1221,Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,7.67,https://myanimelist.net/anime/6154/Saint_Seiya__Meiou_Hades_Juuni_Kyuu-hen_-_Yomigaerishi_Gold_Saint-tachi_no_Shinwa
1222,Seikai no Senki,7.67,https://myanimelist.net/anime/396/Seikai_no_Senki
1223,Shirobako Movie,7.67,https://myanimelist.net/anime/37804/Shirobako_Movie
1224,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,7.67,https://myanimelist.net/anime/33502/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka
1225,Space Cobra,7.67,https://myanimelist.net/anime/2451/Space_Cobra
1226,Tenkuu no Escaflowne,7.67,https://myanimelist.net/anime/182/Tenkuu_no_Escaflowne
1227,Tensei Oujo to Tensai Reijou no Mahou Kakumei,7.67,https://myanimelist.net/anime/52736/Tensei_Oujo_to_Tensai_Reijou_no_Mahou_Kakumei
1228,Toaru Kagaku no Railgun,7.67,https://myanimelist.net/anime/6213/Toaru_Kagaku_no_Railgun
1229,Tondemo Skill de Isekai Hourou Meshi,7.67,https://myanimelist.net/anime/53446/Tondemo_Skill_de_Isekai_Hourou_Meshi
1230,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,7.67,https://myanimelist.net/anime/34445/Yuuki_Yuuna_wa_Yuusha_de_Aru__Yuusha_no_Shou
1231,Tsuritama,7.66,https://myanimelist.net/anime/12883/Tsuritama
1232,Arslan Senki (TV),7.66,https://myanimelist.net/anime/28249/Arslan_Senki_TV
1233,Bungou Stray Dogs: Hitori Ayumu,7.66,https://myanimelist.net/anime/33071/Bungou_Stray_Dogs__Hitori_Ayumu
1234,Daa! Daa! Daa!,7.66,https://myanimelist.net/anime/233/Daa_Daa_Daa
1235,Drifters: Special Edition,7.66,https://myanimelist.net/anime/33032/Drifters__Special_Edition
1236,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,7.66,https://myanimelist.net/anime/1015/Full_Metal_Panic_The_Second_Raid__Wari_to_Hima_na_Sentaichou_no_Ichinichi
1237,Giovanni no Shima,7.66,https://myanimelist.net/anime/19115/Giovanni_no_Shima
1238,Hanma Baki: Son of Ogre,7.66,https://myanimelist.net/anime/42940/Hanma_Baki__Son_of_Ogre
1239,Kakushigoto Movie,7.66,https://myanimelist.net/anime/44586/Kakushigoto_Movie
1240,Kami nomi zo Shiru Sekai,7.66,https://myanimelist.net/anime/8525/Kami_nomi_zo_Shiru_Sekai
1241,Kidou Senshi Gundam: Gyakushuu no Char,7.66,https://myanimelist.net/anime/87/Kidou_Senshi_Gundam__Gyakushuu_no_Char
1242,Kimi to Boku.,7.66,https://myanimelist.net/anime/10460/Kimi_to_Boku
1243,Kuroko no Basket NG-shuu,7.66,https://myanimelist.net/anime/15487/Kuroko_no_Basket_NG-shuu
1244,Mitsudomoe Zouryouchuu!,7.66,https://myanimelist.net/anime/9510/Mitsudomoe_Zouryouchuu
1245,Overlord Movie 2: Shikkoku no Eiyuu,7.66,https://myanimelist.net/anime/34428/Overlord_Movie_2__Shikkoku_no_Eiyuu
1246,Pandora Hearts,7.66,https://myanimelist.net/anime/5530/Pandora_Hearts
1247,Rilakkuma to Kaoru-san,7.66,https://myanimelist.net/anime/35777/Rilakkuma_to_Kaoru-san
1248,Sekaiichi Hatsukoi,7.66,https://myanimelist.net/anime/9926/Sekaiichi_Hatsukoi
1249,Shin Mazinger Shougeki! Z-hen,7.66,https://myanimelist.net/anime/5485/Shin_Mazinger_Shougeki_Z-hen
1250,Shoujo☆Kageki Revue Starlight,7.66,https://myanimelist.net/anime/35503/Shoujo☆Kageki_Revue_Starlight
1251,Tokyo Revengers: Seiya Kessen-hen,7.66,https://myanimelist.net/anime/50608/Tokyo_Revengers__Seiya_Kessen-hen
1252,Machikado Mazoku,7.65,https://myanimelist.net/anime/39071/Machikado_Mazoku
1253,Manga de Wakaru! Fate/Grand Order,7.65,https://myanimelist.net/anime/38958/Manga_de_Wakaru_Fate_Grand_Order
1254,Minami-ke,7.65,https://myanimelist.net/anime/2963/Minami-ke
1255,Minami-ke Tadaima,7.65,https://myanimelist.net/anime/14511/Minami-ke_Tadaima
1256,Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,7.65,https://myanimelist.net/anime/18849/Natsume_Yuujinchou__Nyanko-sensei_to_Hajimete_no_Otsukai
1257,Nejimaki Seirei Senki: Tenkyou no Alderamin,7.65,https://myanimelist.net/anime/31764/Nejimaki_Seirei_Senki__Tenkyou_no_Alderamin
1258,Poyopoyo Kansatsu Nikki,7.65,https://myanimelist.net/anime/12021/Poyopoyo_Kansatsu_Nikki
1259,Seikai no Senki III,7.65,https://myanimelist.net/anime/398/Seikai_no_Senki_III
1260,Slam Dunk: Hoero Basketman-damashii! Hanamichi to Rukawa no Atsuki Natsu,7.65,https://myanimelist.net/anime/2499/Slam_Dunk__Hoero_Basketman-damashii_Hanamichi_to_Rukawa_no_Atsuki_Natsu
1261,Tsurune: Kazemai Koukou Kyuudou-bu,7.65,https://myanimelist.net/anime/36653/Tsurune__Kazemai_Koukou_Kyuudou-bu
1262,Wonder Egg Priority,7.65,https://myanimelist.net/anime/43299/Wonder_Egg_Priority
1263,Working!!,7.65,https://myanimelist.net/anime/6956/Working
1264,Yowamushi Pedal: New Generation,7.65,https://myanimelist.net/anime/31783/Yowamushi_Pedal__New_Generation
1265,Aggressive Retsuko (ONA),7.65,https://myanimelist.net/anime/36904/Aggressive_Retsuko_ONA
1266,Akiba Meido Sensou,7.65,https://myanimelist.net/anime/52193/Akiba_Meido_Sensou
1267,Arashi no Yoru ni,7.65,https://myanimelist.net/anime/1961/Arashi_no_Yoru_ni
1268,Bounen no Xamdou,7.65,https://myanimelist.net/anime/4177/Bounen_no_Xamdou
1269,Cardcaptor Sakura: Clear Card-hen,7.65,https://myanimelist.net/anime/33354/Cardcaptor_Sakura__Clear_Card-hen
1270,Code Geass: Hangyaku no Lelouch II - Handou,7.65,https://myanimelist.net/anime/34439/Code_Geass__Hangyaku_no_Lelouch_II_-_Handou
1271,D4DJ First Mix,7.65,https://myanimelist.net/anime/39681/D4DJ_First_Mix
1272,Fairy Tail (2014),7.65,https://myanimelist.net/anime/22043/Fairy_Tail_2014
1273,Hachimitsu to Clover Specials,7.65,https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials
1274,Hai to Gensou no Grimgar,7.65,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar
1275,Initial D Battle Stage 2,7.65,https://myanimelist.net/anime/3931/Initial_D_Battle_Stage_2
1276,Inuyashiki,7.65,https://myanimelist.net/anime/34542/Inuyashiki
1277,Kindaichi Shounen no Jikenbo Returns 2nd Season,7.65,https://myanimelist.net/anime/31227/Kindaichi_Shounen_no_Jikenbo_Returns_2nd_Season
1278,Ao Haru Ride,7.64,https://myanimelist.net/anime/21995/Ao_Haru_Ride
1279,Bokura wa Minna Kawai-sou: Hajimete no,7.64,https://myanimelist.net/anime/24913/Bokura_wa_Minna_Kawai-sou__Hajimete_no
1280,Detective Conan Movie 10: Promo Special,7.64,https://myanimelist.net/anime/7305/Detective_Conan_Movie_10__Promo_Special
1281,Doraemon (2005),7.64,https://myanimelist.net/anime/8687/Doraemon_2005
1282,Evangelion: 3.0 You Can (Not) Redo,7.64,https://myanimelist.net/anime/3785/Evangelion__30_You_Can_Not_Redo
1283,Flip Flappers,7.64,https://myanimelist.net/anime/32979/Flip_Flappers
1284,Free! Movie 2: Timeless Medley - Yakusoku,7.64,https://myanimelist.net/anime/35191/Free_Movie_2__Timeless_Medley_-_Yakusoku
1285,Gakuen Alice,7.64,https://myanimelist.net/anime/74/Gakuen_Alice
1286,Genshiken,7.64,https://myanimelist.net/anime/240/Genshiken
1287,Heion Sedai no Idaten-tachi,7.64,https://myanimelist.net/anime/42625/Heion_Sedai_no_Idaten-tachi
1288,K: Missing Kings,7.64,https://myanimelist.net/anime/16904/K__Missing_Kings
1289,Kokoro Yohou,7.64,https://myanimelist.net/anime/41195/Kokoro_Yohou
1290,Kyou kara Maou!,7.64,https://myanimelist.net/anime/251/Kyou_kara_Maou
1291,Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,7.64,https://myanimelist.net/anime/39651/Mob_Psycho_100__Dai_Ikkai_Rei_toka_Soudansho_Ian_Ryokou_-_Kokoro_Mitasu_Iyashi_no_Tabi
1292,Non Non Biyori: Okinawa e Ikukoto ni Natta,7.64,https://myanimelist.net/anime/21667/Non_Non_Biyori__Okinawa_e_Ikukoto_ni_Natta
1293,Pokemon Movie 01: Mewtwo no Gyakushuu,7.64,https://myanimelist.net/anime/528/Pokemon_Movie_01__Mewtwo_no_Gyakushuu
1294,Pokemon: Mezase Pokemon Master,7.64,https://myanimelist.net/anime/53874/Pokemon__Mezase_Pokemon_Master
1295,Ranma ½ Super,7.64,https://myanimelist.net/anime/1011/Ranma_½_Super
1296,Seikai no Monshou,7.64,https://myanimelist.net/anime/290/Seikai_no_Monshou
1297,Sexy Commando Gaiden: Sugoi yo!! Masaru-san,7.64,https://myanimelist.net/anime/582/Sexy_Commando_Gaiden__Sugoi_yo_Masaru-san
1298,Sidonia no Kishi,7.64,https://myanimelist.net/anime/19775/Sidonia_no_Kishi
1299,Trapp Ikka Monogatari,7.63,https://myanimelist.net/anime/2557/Trapp_Ikka_Monogatari
1300,Utawarerumono,7.63,https://myanimelist.net/anime/856/Utawarerumono
1301,AKB0048: Next Stage,7.63,https://myanimelist.net/anime/14941/AKB0048__Next_Stage
1302,Break Blade Movie 1: Kakusei no Toki,7.63,https://myanimelist.net/anime/6772/Break_Blade_Movie_1__Kakusei_no_Toki
1303,Cardcaptor Sakura Movie 1,7.63,https://myanimelist.net/anime/371/Cardcaptor_Sakura_Movie_1
1304,Date A Bullet: Nightmare or Queen,7.63,https://myanimelist.net/anime/42423/Date_A_Bullet__Nightmare_or_Queen
1305,Digimon Adventure tri. 3: Kokuhaku,7.63,https://myanimelist.net/anime/32551/Digimon_Adventure_tri_3__Kokuhaku
1306,Digimon Tamers,7.63,https://myanimelist.net/anime/874/Digimon_Tamers
1307,Free! Eternal Summer,7.63,https://myanimelist.net/anime/22265/Free_Eternal_Summer
